图标,名称,来源版本,主题,图鉴编号,原始稀有度,原始价值,官方效果,官方描述,解锁条件,游戏稀有度（可编辑）,游戏价值（可编辑）,游戏效果（可编辑）,启用（可编辑）,备注（可编辑）,内部ID,图标URL
,漆黑的钥匙,IS1,刻俄柏的灰蕈迷境,170,SUPER_RARE,16,所有我方单位的攻击力、防御力、生命值+3%,你非常惊讶，这把造型精妙的钥匙是用源石制成的，什么样的加工技术才能如此精妙地打造一把钥匙？,？？？,,,,是,,relic_170,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_170.png
,鸟卜探索仪,IS1,刻俄柏的灰蕈迷境,171,RARE,12,可同时部署人数+2,哥伦比亚某个神秘学会制造的特殊仪器，这个用源石结晶制成的球形设备可以探测周围数十米内的地貌，非常神奇。,,,,,是,,relic_171,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_171.png
,超高级沙发,IS1,刻俄柏的灰蕈迷境,172,RARE,12,可携带干员+1，可同时部署人数+1,“全泰拉最舒服的沙发”、“躺在上面会让你忘却人生的烦恼”、“休闲旅行必备”......这广告词浮夸得可疑。,在多局游戏中累计招募总共90名干员（初始不计算）,,,,是,,relic_172,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_172.png
,立体投影仪,IS1,刻俄柏的灰蕈迷境,173,NORMAL,8,立即获得目标生命+6,这台投影仪会生成一个虚假的人形幻影，不仔细看根本无法辨别，可以很好地误导敌人，但是别拿来恶作剧......,,,,,是,,relic_173,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_173.png
,一台旧冰箱,IS1,刻俄柏的灰蕈迷境,174,NORMAL,8,立即获得目标生命+6,一台没有动力，不能制冷的旧冰箱，但是躲在里面可以躲避很多危险，甚至可以防御最危险的源石炸弹，电影里都是这么演的。,,,,,是,,relic_174,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_174.png
,个人避难所,IS1,刻俄柏的灰蕈迷境,175,RARE,12,立即获得目标生命+8,哥伦比亚的科技公司“约翰老妈”提供给拓荒者的个人防护掩体，然而拓荒者要是有钱买这个就不会去当拓荒者了......,,,,,是,,relic_175,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_175.png
,虚空发生器,IS1,刻俄柏的灰蕈迷境,176,SUPER_RARE,16,立即获得目标生命+10,罗德岛库房里来历不明的神秘设备之一，不需要源石供能，启动之后会在使用者周围生成一片不可见的防御立场。,,,,,是,,relic_176,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_176.png
,“坏家伙”来了！,IS1,刻俄柏的灰蕈迷境,178,SUPER_RARE,16,所有我方单位的攻击力和防御力+35%，生命值+45%,这台集合了罗德岛所有精锐技术为一身的运输飞行器为你提供一切保障，保证你的旅途犹如野外春游般顺畅。,,,,,是,,relic_178,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_178.png
,鬼血,IS1,刻俄柏的灰蕈迷境,179,SUPER_RARE,16,所有敌方单位的攻击力、防御力、生命值+20%,某支血脉的血液，加上一点独特的源石技艺产物，仅仅是打开瓶盖就足以成为引发流血事件的元凶。,完成游戏结局,,,,是,,relic_179,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_179.png
,冰封的异爪,IS1,刻俄柏的灰蕈迷境,180,SUPER_RARE,16,所有敌方单位的攻击力、防御力、生命值+12%，且所有BOSS单位还会攻击力、防御力+16%，生命值+36%,即使麦哲伦这样的探险家一代又一代向着这片纯白的大地发起挑战，这处亘古不变的冰原依旧有无数未解之谜......以及可怖之物。,完成游戏结局,,,,是,,relic_180,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_180.png
,巫王旋角,IS1,刻俄柏的灰蕈迷境,181,SUPER_RARE,16,所有敌方单位的攻击力、防御力、生命值+12%，且每进入一个新节点后，失去1目标生命（最多降至1）,呵，伟大的巫王！你的阴影笼罩着大地！你的腐败浸没了高塔！你死了，你的法术随之散逸，莱塔尼亚不会再畏惧你！,完成游戏结局,,,,是,,relic_181,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_181.png
,浅海轻唱,IS1,刻俄柏的灰蕈迷境,182,SUPER_RARE,16,所有敌方单位的攻击力、防御力、生命值+8%，且招募4星以上干员时希望消耗+1,伊比利亚的临海断崖上常见的鲜花，但唯独这一朵沾染了违背常理的颜色。只听它呢喃呓语，拒绝希望，就连花草也坠入疯狂。,完成游戏结局,,,,是,,relic_182,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_182.png
,后勤分队,IS1,刻俄柏的灰蕈迷境,999,BORN,0,初始源石锭+20，初始希望+2,,在多局游戏中累计获得150源石锭,,,,是,,relic_b3,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_999.png
,堡垒战术分队,IS1,刻俄柏的灰蕈迷境,999,BORN,0,招募4星以上的【重装】【辅助】干员时直接就是已进阶的状态,,拥有合计至少5名重装或辅助干员完成游戏结局,,,,是,,relic_b6,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_999.png
,指挥分队,IS1,刻俄柏的灰蕈迷境,999,BORN,0,每场战斗获得4点临时目标生命值,,,,,,是,,relic_b1,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_999.png
,矛头分队,IS1,刻俄柏的灰蕈迷境,999,BORN,0,初始目标生命值变为1，所有干员的攻击力+15%，生命值+15%,,剩余10点以上目标生命时完成游戏结局,,,,是,,relic_b4,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_999.png
,破坏战术分队,IS1,刻俄柏的灰蕈迷境,999,BORN,0,招募4星以上的【术师】【特种】干员时直接就是已进阶的状态,,拥有合计至少5名特种或术师干员完成游戏结局,,,,是,,relic_b8,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_999.png
,突击战术分队,IS1,刻俄柏的灰蕈迷境,999,BORN,0,招募4星以上的【先锋】【近卫】干员时直接就是已进阶的状态,,拥有合计至少5名先锋或近卫干员完成游戏结局,,,,是,,relic_b5,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_999.png
,远程战术分队,IS1,刻俄柏的灰蕈迷境,999,BORN,0,招募4星以上的【医疗】【狙击】干员时直接就是已进阶的状态,,拥有合计至少5名医疗或狙击干员完成游戏结局,,,,是,,relic_b7,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_999.png
,集群分队,IS1,刻俄柏的灰蕈迷境,999,BORN,0,可携带干员+2，可同时部署人数+2,,通过第三层【千条道路】,,,,是,,relic_b2,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_999.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r14.png,尖笑鬼牌,IS2,傀影与猩红孤钻,014,NORMAL,,立即进阶一个干员（不消耗希望）,这是给予你的特权。,,,,,是,,rogue_1_relic_r14,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_014.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r29.png,猩红剧团票根,IS2,傀影与猩红孤钻,029,RARE,,战斗后有25%的几率额外掉落一张招募券,猩红剧团的门票，没有写演出和表演者的名字。究竟是怎样的演出在等待着你？,,,,,是,,rogue_1_relic_r29,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_029.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r31.png,假面舞会面具,IS2,傀影与猩红孤钻,031,RARE,,每进入一个非战斗节点，获得源石锭+3,尊敬的客人，欢迎来到猩红剧团，接下来的演出一定会令您印象深刻。,在多局游戏中累计进入100次非战斗格,,,,是,,rogue_1_relic_r31,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_031.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r37.png,突击协议扩充,IS2,傀影与猩红孤钻,037,NORMAL,,商店和战斗掉落的先锋招募券都被升级成高级人事调度函,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名先锋干员胜利一场战斗,,,,是,,rogue_1_relic_r37,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_037.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r38.png,突击协议增援,IS2,傀影与猩红孤钻,038,NORMAL,,商店和战斗掉落的近卫招募券都被升级成高级人事调度函,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名近卫干员胜利一场战斗,,,,是,,rogue_1_relic_r38,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_038.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r39.png,堡垒协议扩充,IS2,傀影与猩红孤钻,039,NORMAL,,商店和战斗掉落的重装招募券都被升级成高级人事调度函,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名重装干员胜利一场战斗,,,,是,,rogue_1_relic_r39,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_039.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r40.png,堡垒协议增援,IS2,傀影与猩红孤钻,040,NORMAL,,商店和战斗掉落的辅助招募券都被升级成高级人事调度函,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名辅助干员胜利一场战斗,,,,是,,rogue_1_relic_r40,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_040.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r41.png,远程协议扩充,IS2,傀影与猩红孤钻,041,NORMAL,,商店和战斗掉落的医疗招募券都被升级成高级人事调度函,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于3名医疗干员胜利一场战斗,,,,是,,rogue_1_relic_r41,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_041.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r42.png,远程协议增援,IS2,傀影与猩红孤钻,042,NORMAL,,商店和战斗掉落的狙击招募券都被升级成高级人事调度函,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名狙击干员胜利一场战斗,,,,是,,rogue_1_relic_r42,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_042.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r43.png,破坏协议扩充,IS2,傀影与猩红孤钻,043,NORMAL,,商店和战斗掉落的术师招募券都被升级成高级人事调度函,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名术师干员胜利一场战斗,,,,是,,rogue_1_relic_r43,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_043.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r44.png,破坏协议增援,IS2,傀影与猩红孤钻,044,NORMAL,,商店和战斗掉落的特种招募券都被升级成高级人事调度函,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名特种干员胜利一场战斗,,,,是,,rogue_1_relic_r44,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_044.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a06.png,作者的喉舌,IS2,傀影与猩红孤钻,050,RARE,,所有敌方单位的防御力-21%,剧作家用笔蘸着自己的血创作。他为自己设计了丧身火海的最后一幕。,选择【集群分队】完成游戏结局,,,,是,,rogue_1_relic_a06,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_050.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a35.png,乌萨斯列巴,IS2,傀影与猩红孤钻,079,NORMAL,,可携带干员+1,一种来自乌萨斯的食物，吃起来有一股子浓烈的发酵味儿。就是酸。,,,,,是,,rogue_1_relic_a35,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_079.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a36.png,苦行者泡芙,IS2,傀影与猩红孤钻,080,NORMAL,,可携带干员+1,行在苦路上的人们常常用这甘甜来抚慰心灵。,,,,,是,,rogue_1_relic_a36,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_080.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a37.png,铁棍面包,IS2,傀影与猩红孤钻,081,NORMAL,,可携带干员+1,坚硬的棍状面包，随身带上一根，既可以饱腹，又能够防身。,在一次【微型舞台】事件中，连续投硬币不小于10次,,,,是,,rogue_1_relic_a37,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_081.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a38.png,试制巧克力,IS2,傀影与猩红孤钻,082,RARE,,可携带干员+2,只是将研发员个人偏爱的咸蛋黄与巧克力进行简单混合后的试制品，尚未达到能作为商品面世的水准。“还缺少酥脆的灵魂……”,在多局游戏中累计招募总共70名干员,,,,是,,rogue_1_relic_a38,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_082.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a39.png,高卢小圆饼,IS2,傀影与猩红孤钻,083,RARE,,可携带干员+2,由于高卢圆饼的糖分高得吓人，部分店家推出了微缩版本以供顾客享用。,,,,,是,,rogue_1_relic_a39,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_083.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a40.png,维多利亚蛋糕,IS2,傀影与猩红孤钻,084,SUPER_RARE,,可携带干员+3,纪念我们常胜不败的皇帝！,在任意时刻拥有不小于13个可携带干员数,,,,是,,rogue_1_relic_a40,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_084.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a41.png,路线说明图,IS2,傀影与猩红孤钻,085,NORMAL,,可同时部署人数+1,一张干员亲手绘制的地图，附赠路线说明。除了书写者本人，没人看得懂。,,,,,是,,rogue_1_relic_a41,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_085.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a42.png,昏暗的提灯,IS2,傀影与猩红孤钻,086,NORMAL,,可同时部署人数+1,"干员探险用的提灯，可以手提，也可以挂在背包上。
明明在外面很亮，但在这里就不好使。",,,,,是,,rogue_1_relic_a42,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_086.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a43.png,黄铜指南针,IS2,傀影与猩红孤钻,087,RARE,,可同时部署人数+2,它总是指向同一个方向。但那到底是哪儿？,,,,,是,,rogue_1_relic_a43,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_087.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a44.png,破损的面具,IS2,傀影与猩红孤钻,088,RARE,,可同时部署人数+2,"他戴上了面具。
是他在说话还是面具在说话？",,,,,是,,rogue_1_relic_a44,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_088.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a45.png,空白名片,IS2,傀影与猩红孤钻,089,RARE,,可携带干员+1，可同时部署人数+1,神秘的名片，以神秘方式记录着神秘杀手的联系方式。,在多局游戏中累计招募总共120名干员,,,,是,,rogue_1_relic_a45,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_089.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_p04.png,钝爪-振奋,IS2,傀影与猩红孤钻,096,RARE,,所有【先锋】干员的再部署时间-50%,只是战略性撤退而已，这样才好在贯穿敌人前看清他们长什么样。,在多局游戏中累计击败领袖【“遗弃者”】3次,,,,是,,rogue_1_relic_p04,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_096.png
